Firmenniederlassungen||||||||||
prefix:|Br|||||||||
||||||||||
id|name|start|end|display date|location|lat|long|(media)|(description)|(category)
Br-15|Exemplum Store|24.03.1987|01.01.9999|Seit dem 24.03.1987|London|51.51|-0.14||Nach dem Vorbild in Hamburg wird auch in London ein Exemplum Store eröffnet.|S
Br-16|Exemplum Store|05.02.1988|01.01.9999|Seit dem 05.02.1988|Paris|48.84|2.34||Nach dem Vorbild in Hamburg wird auch in Paris ein Exemplum Store eröffnet.|S
Br-17|Exemplum Store|05.02.1988|01.01.9999|Seit dem 05.02.1988|Rom|41.89|12.47||Nach dem Vorbild in Hamburg wird auch in Rom ein Exemplum Store eröffnet.|S
Br-18|Exemplum Store|05.02.1988|01.01.9999|Seit dem 05.02.1988|Barcelona|41.38|2.18|M-41|Nach dem Vorbild in Hamburg wird auch in Barcelona ein Exemplum Store eröffnet.|S
Br-19|Zweigstelle USA|01.01.1990|01.01.9999|Seit 1990|Atlanta|33.75|-84.39|M-42|Um den amerikanischen Markt besser bedienen zu können, wird in Atlanta die erste außereuropäische Zweigstelle eröffnet. Sie hat mehr Mitarbeiter als die Zweigstellen in Spanien, Portugal und Frankreich zusammen.|Z
Br-20|Limonadenfabrik Cottbus|12.12.1991|01.01.9999|Seit dem 12.12.1991|Cottbus|51.75|14.33||Nach der Wiedervereinigung wird in Cottbus die erste Limonadenfabrik in der ehemaligen DDR eröffnet. Die Fabrik in Cottbus soll zum einen den Markt in Ostdeutschland bedienen und zum anderen für mögliche Expansionen nach Osteuropa die Weichen stellen.|F
Br-21|Energy-Drink-Fabrik Tokio|01.01.1995|01.01.9999|Seit 1995|Tokio|35.7|139.72|M-43|Die aufgekaufte Energydrinkfabrik in Tokio ist weltweit die modernster ihrer Art. Damit erschließt die Exemplum GmbH den japanischen Markt.|F
Br-22|Exemplum Store|03.07.1998|01.01.9999|Seit dem 03.07.1998|New York|40.73|-73.99|M-44|Nach dem europäischen Vorbild wird in New York ein Exemplum Store eröffnet.|S
Br-23|Exemplum Store|09.03.2008|01.01.9999|Seit dem 09.03.2008|Tokio|35.7|139.72||Nach dem europäischen Vorbild wird in Tokio ein Exemplum Store eröffnet.|S
Br-24|Limonadenfabrik München|01.01.2010|01.01.9999|Seit 2010|München|48.13|11.57||Die Limonadenfarbik München war gleichzeitig der Hauptsitz der Insolventa GmbH.|F
Br-25|Limonadenfabrik Moskau|01.01.2010|01.01.9999|Seit 2010|Moskau|55.75|37.60||Die Limonadenfabrik Moskau gehörte zu aufgekauften Insolventa GmbH.|F
Br-26|Limonadenfabrik Istanbul|01.01.2010|01.01.9999|Seit 2010|Istanbul|41.01|28.93|M-45|Die Limonadenfabrik Istanbul gehörte zu aufgekauften Insolventa GmbH.|F
Br-27|Limonadenfabrik Prag|01.01.2010|01.01.9999|Seit 2010|Prag|50.05|14.44|M-46|Die Limonadenfabrik Prag gehörte zu aufgekauften Insolventa GmbH. Neben dem tschechischen Markt belieferte diese Farbik vor allem den polnischen und den kroatischen.|F
Br-28|Exemplum Erlebniszenter|10.07.2011|01.01.9999|Seit dem 10.07.2011|Stuttgart|48.46|9.12||Das in Stuttgart eingeweihte Erlebniszenter für Kinder ist bei seiner Fertigstellung einer der größten Indoorspielplätze Europas.|E
Br-29||||||||||
